?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBcv_0000184>		
<http://purl.obolibrary.org/obo/CHEBI_62031>	"Zwitterionic form of a polar amino acid having an anionic carboxy group and a protonated amino group."	
<http://purl.obolibrary.org/obo/FBcv_0000000>	"FlyBase miscellaneous controlled vocabulary term."	
<http://purl.obolibrary.org/obo/FBcv_0000345>	"Qualifier that describes an electrophoretic migration of a gene product that is intermediate in speed compared to the wild-type."	"PATO:0000303"
<http://purl.obolibrary.org/obo/FBcv_0000521>	"Mutation induced by exposure to radio waves."	
<http://purl.obolibrary.org/obo/FBcv_0007009>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property that can be used to stimulate the activity of a neuron, where this property can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/FBcv_0000188>	"Qualifier that describes the type of publication."	
<http://purl.obolibrary.org/obo/FBcv_0000595>	"No definition for CHEBI:25814."	
<http://purl.obolibrary.org/obo/CHEBI_48873>	"Any drug that binds to but does not activate cholinergic receptors, thereby blocking the actions of acetylcholine or cholinergic agonists."	
<http://purl.obolibrary.org/obo/FBcv_0002022>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the second instar larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000039>	"A spatial quality inhering in a bearer by virtue of the bearer's being located toward the front of an organism relative to another entity."	"PATO:0001632"
<http://purl.obolibrary.org/obo/CHEBI_33402>		
<http://purl.obolibrary.org/obo/CHEBI_37808>	"A straight chain alkane composed of 4 carbon atoms."	"PDBeChem:NBU Wikipedia:Butane"
<http://purl.obolibrary.org/obo/CHEBI_71232>	"An antagonist at any adenosine receptor."	"Wikipedia:Adenosine_receptor"
<http://purl.obolibrary.org/obo/CHEBI_38975>	"Any alkylbenzene that is benzene substituted with one or more methyl groups."	
<http://purl.obolibrary.org/obo/CHEBI_35568>	"Any molecular entity that consists of a ring having (formally) the maximum number of noncumulative double bonds."	
<http://purl.obolibrary.org/obo/FBcv_0000502>	"Mutation induced by the transposable activity caused by piggyBac, a DNA transposable element. The piggyBac is 2.5 kilobases in length with 13 base pairs inverted terminal repeats. It specifically targets TTAA dinucleotides and generates a flanking duplication of these 4 base pairs upon insertion. Mobilization is induced by the activity of the piggyBac transposase."	
<http://purl.obolibrary.org/obo/CHEBI_13941>		
<http://purl.obolibrary.org/obo/CHEBI_33317>		
<http://purl.obolibrary.org/obo/FBcv_0003056>	"A genome binding assay of some protein as characterized by creating a fusion to DNA adenine methyltransferase and analysis of methylated DNA sequences by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/FBcv_0000629>		
<http://purl.obolibrary.org/obo/FBcv_0010012>		
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/FBcv_0000377>	"A phenotype that is the ability of females to produce fertilized eggs as a result of mating."	
<http://purl.obolibrary.org/obo/FBcv_0000280>	"Publication in the Ukrainian language."	
<http://purl.obolibrary.org/obo/FBcv_0003186>	"The biosample that is depleted of specific biomolecule types before further processing."	
<http://purl.obolibrary.org/obo/CHEBI_17891>	"A molecular entity that can transfer (\"donate\") an electron, a pair of electrons, an atom or a group to another molecular entity."	"KEGG:C01351"
<http://purl.obolibrary.org/obo/FBcv_0003142>	"A biosample that is derived from multiple species."	
<http://purl.obolibrary.org/obo/FBcv_0000334>	"Expressed in females."	
<http://purl.obolibrary.org/obo/FBcv_0000734>	"Embryonic/larval segmentation phenotype that is the complete or partial loss of terminal regions of the embryo/larva: the acron, telson and immediately adjacent segments."	
<http://purl.obolibrary.org/obo/CHEBI_35942>	"A substance used for its pharmacological action on any aspect of neurotransmitter systems. Neurotransmitter agents include agonists, antagonists, degradation inhibitors, uptake inhibitors, depleters, precursors, and modulators of receptor function."	
<http://purl.obolibrary.org/obo/FBcv_0000187>		
<http://purl.obolibrary.org/obo/CHEBI_50909>	"A role played by a chemical compound exihibiting itself through the ability to induce damage to the kidney in animals."	
<http://purl.obolibrary.org/obo/CHEBI_33663>		
<http://purl.obolibrary.org/obo/CHEBI_17578>	"The simplest member of the class toluenes consisting of a benzene core which bears a single methyl substituent."	"DrugBank:DB01900 KEGG:C01455 Wikipedia:Toluene PDBeChem:MBN"
<http://purl.obolibrary.org/obo/CHEBI_58095>	"An amino acid zwitterion arising from transfer of a proton from the carboxy to the amino group of L-phenylalanine; major species at pH 7.3."	"MetaCyc:PHE"
<http://purl.obolibrary.org/obo/CHEBI_84735>	"Any eukaryotic metabolite produced during a metabolic reaction in algae including unicellular organisms like chlorella and diatoms to multicellular organisms like giant kelps and brown algae."	
<http://purl.obolibrary.org/obo/CHEBI_25224>	"A 1,1-diunsubstituted alkanesulfonate that is the conjugate base of methanesulfonic acid."	"MetaCyc:CPD-3746"
<http://purl.obolibrary.org/obo/CHEBI_19032>	"A haloalkane that is bromoethane substituted by chlorine at position 2."	
<http://purl.obolibrary.org/obo/FBcv_0000166>	"Qualifier that describes an observed expression pattern."	
<http://purl.obolibrary.org/obo/FBcv_0000787>	"A publication issued on a regular, ongoing basis containing separate research articles and other writings such as reviews, comments and conference reports."	"MeSH:D020492"
<http://purl.obolibrary.org/obo/CHEBI_48024>	"Any hydroxyflavanone with a hydroxy substituent at position 3' of the phenyl ring."	"MetaCyc:3-Hydroxy-Flavanones"
<http://purl.obolibrary.org/obo/CHEBI_16716>	"A six-carbon aromatic annulene in which each carbon atom donates one of its two 2p electrons into a delocalised pi system. A toxic, flammable liquid byproduct of coal distillation, it is used as an industrial solvent. Benzene is a carcinogen that also damages bone marrow and the central nervous system."	"HMDB:HMDB0001505 KEGG:C01407 PDBeChem:BNZ Wikipedia:Benzene"
<http://purl.obolibrary.org/obo/FBcv_0000766>	"An allele that has been shown by molecular evidence to make a gene product that is antagonistic to the function of the wild-type gene product at some temperatures but not others."	
<http://purl.obolibrary.org/obo/FBcv_0003195>	"Material that has been selected using Cap Analysis Gene Expression, in which the 7-methylguanosine cap at 5' transcript ends is biotinylated and affinity purified."	
<http://purl.obolibrary.org/obo/FBcv_0005060>	"Specific DNA sequence that is used as the effector in a binary expression system. This system requires a transactivator ('driver') that binds to a specific DNA sequence ('regulatory region' or 'effector'). A driver encoded by one transgenic locus or modified endogenous locus is used to drive expression of a downstream 'responder' or 'reporter' encoded by another transgenic locus or modified endogenous locus, by fusing the regulatory region sequence to which the driver binds upstream of the responder sequence. The temporal and spatial expression pattern of the responder thus depends on the regulatory elements used to drive expression of the driver. In addition, a specific repressor protein may be available which prevents the transactivator from driving expression, allowing further refinement of the expression pattern of the responder."	
<http://purl.obolibrary.org/obo/CHEBI_23414>	"A metal sulfate compound having copper(2+) as the metal ion."	"Wikipedia:Copper(II)_sulfate KEGG:C18713 PPDB:178"
<http://purl.obolibrary.org/obo/FBcv_0000108>	"30-40% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0010019>		
<http://purl.obolibrary.org/obo/FBcv_0000186>		
<http://purl.obolibrary.org/obo/CHEBI_35504>	"An addition compound contains two or more simpler compounds that can be packed in a definite ratio into a crystal. The term covers donor-acceptor complexes (adducts) and a variety of lattice compounds."	
<http://purl.obolibrary.org/obo/CHEBI_52768>	"A thioxanthen-9-one compound having a hydroxymethyl substituent at the 1-position and a 2-[(diethylamino)ethyl]amino substituent at the 4-position. It was formerly used (particularly as the monomethanesulfonic acid salt) as a schistosomicide for individual or mass treatement of infection with Schistosoma haematobium and S. mansoni, but due to its toxicity and concern about possible carcinogenicity, it has been replaced by other drugs such as praziquantel."	"Patent:US3294803 LINCS:LSM-5614 Wikipedia:Hycanthone KEGG:D00541 Patent:NL6410359 Patent:US3312598"
<http://purl.obolibrary.org/obo/FBcv_0003001>	"Makes a condition better."	
<http://purl.obolibrary.org/obo/CHEBI_35481>	"A drug that has principally analgesic, antipyretic and anti-inflammatory actions. Non-narcotic analgesics do not bind to opioid receptors."	
<http://purl.obolibrary.org/obo/FBcv_0000316>	"Phenotype that is the partial or full transformation of one or more segments (FBbt:00000003) or segmental appendages from one identity to another. For example, in antennapedia an antenna is partially or fully transformed into a leg."	
<http://purl.obolibrary.org/obo/CHEBI_83813>	"Any of the 23 alpha-amino acids that are precursors to proteins, and are incorporated into proteins during translation. The group includes the 20 amino acids encoded by the nuclear genes of eukaryotes together with selenocysteine, pyrrolysine, and N-formylmethionine. Apart from glycine, which is non-chiral, all have L configuration."	"Wikipedia:Proteinogenic_amino_acid"
<http://purl.obolibrary.org/obo/CHEBI_17821>	"A pyrimidine nucleobase that is uracil in which the hydrogen at position 5 is replaced by a methyl group."	"Wikipedia:Thymine DrugBank:DB03462 PDBeChem:TDR KEGG:C00178 KNApSAcK:C00001511"
<http://purl.obolibrary.org/obo/CHEBI_36043>	"A drug used to treat or prevent microbial infections."	
<http://purl.obolibrary.org/obo/FBcv_0003025>	"Quantitative or qualitative assessment of biological source material to measure some attribute."	
<http://purl.obolibrary.org/obo/FBcv_0000378>	"A phenotype in which all offspring are sterile. Typically, this is due to maternal effect sterility resulting from defects in pole cell development."	
<http://purl.obolibrary.org/obo/FBcv_0010018>		
<http://purl.obolibrary.org/obo/FBcv_0000392>	"A phenotype consisting of an increase in any kind of rate (e.g. speed, frequency) of `multicellular organismal movement` (GO:0050879) compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000801>		
<http://purl.obolibrary.org/obo/FBcv_0009025>	"A result that provides the expression values for all (or some subset of) genes in a given biological sample obtained using a specific transcriptional driver (or combination of drivers), when that driver is not associated to a clearly identified cell type."	
<http://purl.obolibrary.org/obo/FBcv_0000131>	"70% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_28954>		"KNApSAcK:C00001857 KEGG:C09438"
<http://purl.obolibrary.org/obo/FBcv_0007553>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of flight behavior (GO:0007629). 'flight behavior' is defined as: 'The response to external or internal stimuli that results in the locomotory process of flight. Flight is the self-propelled movement of an organism through the air.'."	
<http://purl.obolibrary.org/obo/CHEBI_13643>	"A diol in which the two hydroxy groups are on different carbon atoms, usually but not necessarily adjacent."	
<http://purl.obolibrary.org/obo/FBcv_0000277>	"Publication in the Spanish language."	
<http://purl.obolibrary.org/obo/FBcv_0002025>	"A phenotype of a population that is the death of all animals in that population during the pharate adult stage."	
<http://purl.obolibrary.org/obo/CHEBI_16998>	"The D-enantiomer of phenylalanine."	"YMDB:YMDB00995 PDBeChem:DPN ECMDB:ECMDB20144 MetaCyc:CPD-216 DrugBank:DB02556 KEGG:C02265"
<http://purl.obolibrary.org/obo/CHEBI_38941>	"Drugs that used to treat infestations by flukes (trematodes) of the genus Schistosoma."	
<http://purl.obolibrary.org/obo/FBcv_0003005>	"Makes a condition worse."	
<http://purl.obolibrary.org/obo/FBcv_0000167>	"Weak expression."	
<http://purl.obolibrary.org/obo/FBcv_0003137>	"Characteristics pertaining to the growth conditions, treatments and tissue isolation methods used to generate and obtain a biosample."	
<http://purl.obolibrary.org/obo/CHEBI_38037>		
<http://purl.obolibrary.org/obo/FBcv_0000575>	"A trimethylxanthine in which the three methyl groups are located at positions 1, 3, and 7. A purine alkaloid that occurs naturally in tea and coffee (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_60251>	"R = C or H. The iminium ion resulting from the protonation of one of the imine nitrogens of guanidine or its derivatives."	
<http://purl.obolibrary.org/obo/FBcv_0000145>	"Restricted to stripes in some specified type."	
<http://purl.obolibrary.org/obo/FBcv_0010017>		
<http://purl.obolibrary.org/obo/CHEBI_20552>	"A pyrimidine having keto groups at the 2- and 4-positions and a bromo group at the 5-position. Used mainly as an experimental mutagen."	
<http://purl.obolibrary.org/obo/CHEBI_27027>	"Any nutrient required in small quantities by organisms throughout their life in order to orchestrate a range of physiological functions."	"Wikipedia:Micronutrient"
<http://purl.obolibrary.org/obo/CHEBI_76967>	"Any human metabolite produced by metabolism of a xenobiotic compound in humans."	
<http://purl.obolibrary.org/obo/FBcv_0007506>	"Phenotype that is a decrease in body weight compared to identically raised wild-type controls."	
<http://purl.obolibrary.org/obo/FBcv_0003202>	"Material that has been selected using size fractionation."	
<http://purl.obolibrary.org/obo/FBcv_0000094>	"10-80% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000211>	"A published announcement of a death accompanied by a short biography of the deceased."	
<http://purl.obolibrary.org/obo/FBcv_0000681>	"Phenotype that is any abnormality in sensory perception (GO:0007600). 'sensory perception' is defined as: 'The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.'"	
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/FBcv_0003222>	"Some characteristic of a result pertaining to the methods involved in analyzing the input data, or the content or format of the output data."	
<http://purl.obolibrary.org/obo/FBcv_0003030>	"A project that groups together related sub-projects."	
<http://purl.obolibrary.org/obo/FBcv_0000599>	"No definition for CHEBI:25818."	
<http://purl.obolibrary.org/obo/CHEBI_33664>		
<http://purl.obolibrary.org/obo/CHEBI_84143>	"A non-proteinogenic amino acid derivative resulting from reaction of D-phenylalanine at the amino group or the carboxy group, or from the replacement of any hydrogen of D-phenylalanine by a heteroatom."	
<http://purl.obolibrary.org/obo/CHEBI_67141>	"An ammonium ion resulting from the protonation of the tertiary amino group of lycanthone."	
<http://purl.obolibrary.org/obo/FBcv_0010016>		
<http://purl.obolibrary.org/obo/FBcv_0000803>		
<http://purl.obolibrary.org/obo/FBcv_0000542>	"No definition for CHEBI:27504."	
<http://purl.obolibrary.org/obo/FBcv_0000778>	"An allele that, at some temperatures but not others, makes a gene product with normal function but at higher levels or with higher activity than in wild-type."	
<http://purl.obolibrary.org/obo/CHEBI_73913>	"An antimetabolite that impairs the action of folic acids"	"Wikipedia:Antifolate"
<http://purl.obolibrary.org/obo/CHEBI_17295>	"The L-enantiomer of phenylalanine."	"KEGG:D00021 MetaCyc:PHE ECMDB:ECMDB00159 DrugBank:DB00120 KNApSAcK:C00001386 YMDB:YMDB00304 PDBeChem:PHE Wikipedia:Phenylalanine HMDB:HMDB0000159 KEGG:C00079"
<http://purl.obolibrary.org/obo/CHEBI_33672>	"A bicyclic compound in which at least one of the rings contains at least one skeletal heteroatom."	
<http://purl.obolibrary.org/obo/CHEBI_33551>	"An organic derivative of sulfonic acid in which the sulfo group is linked directly to carbon."	
<http://purl.obolibrary.org/obo/FBcv_0000204>	"A film or video that is factual, documentary or instructional in character."	
<http://purl.obolibrary.org/obo/CHEBI_64769>	"A cationic group that contains carbon."	
<http://purl.obolibrary.org/obo/FBcv_0000393>	"Phenotype that is any abnormality in response to pain (GO:0048265). 'response to pain' is defined as: 'Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pain stimulus. Pain stimuli cause activation of nociceptors, peripheral receptors for pain, include receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli.'"	
<http://purl.obolibrary.org/obo/FBcv_0007551>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of mating behavior (GO:0007617). 'mating behavior' is defined as: 'The behavioral interactions between organisms for the purpose of mating, or sexual reproduction resulting in the formation of zygotes.'."	
<http://purl.obolibrary.org/obo/FBcv_0000010>		
<http://purl.obolibrary.org/obo/CHEBI_25491>	"A substance used to destroy pests of the phylum Nematoda (roundworms)."	"Wikipedia:Nematicide"
<http://purl.obolibrary.org/obo/CHEBI_22063>	"An organosulfur compound having the structure R2S=O or R2C=S=O (R =/= H)."	
<http://purl.obolibrary.org/obo/CHEBI_36420>	"A polycyclic heteroarene that is anthracene in which one of the central CH groups is replaced by a nitrogen atom."	"Wikipedia:Acridine"
<http://purl.obolibrary.org/obo/FBcv_0007024>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that encodes an enzyme which covalently tags neighboring DNA, facilitating the subsequent purification or detection of the tagged DNA by an experimental method."	
<http://purl.obolibrary.org/obo/FBcv_0000494>	"Mutation caused by a male recombination event in the second and third chromosomes induced by a male recombination factor which is present in chromosomes extracted from a population in Harlingen, Texas."	
<http://purl.obolibrary.org/obo/CHEBI_24866>	"A salt is an assembly of cations and anions."	
<http://purl.obolibrary.org/obo/FBcv_0000559>	"No definition for CHEBI:23704."	
<http://purl.obolibrary.org/obo/FBcv_0000058>	"Restricted to distal region of some specified type."	
<http://purl.obolibrary.org/obo/FBcv_0000239>	"Publication in the Bulgarian language."	
<http://purl.obolibrary.org/obo/FBcv_0005028>	"A peptide sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and which is used to target the tagged protein to the microtubule."	
<http://purl.obolibrary.org/obo/FBcv_0003179>	"Material that is derived from the isolation of RNA containing a poly(A) tail."	
<http://purl.obolibrary.org/obo/CHEBI_24315>	"An amino acid derivative resulting from reaction of glutamic acid at the amino group or either of the carboxy groups, or from the replacement of any hydrogen by a heteroatom. The definition normally excludes peptides containing glutamic acid residues."	
<http://purl.obolibrary.org/obo/CHEBI_22681>		
<http://purl.obolibrary.org/obo/FBcv_0009005>	"A method to prepare and sequence a library of cDNAs obtained from single cells."	
<http://purl.obolibrary.org/obo/FBcv_0005044>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that is used to provide a readout of a biologically relevant property that is not part of or directly encoded by the genome, for example pH, redox state, membrane potential, a change in concentration of a particular molecule. For experimental tools that are used to detect a gene product directly encoded by the genome, see instead 'gene product detection tag'."	
<http://purl.obolibrary.org/obo/CHEBI_16015>	"An optically active form of glutamic acid having L-configuration."	"PDBeChem:GLU_LFOH KEGG:C00025 BPDB:2297 MetaCyc:GLT KNApSAcK:C00001358 Wikipedia:L-Glutamic_Acid DrugBank:DB00142 HMDB:HMDB0000148 LINCS:LSM-36375 KEGG:D00007"
<http://purl.obolibrary.org/obo/FBcv_0000261>	"Publication in the Jugoslavian language."	
<http://purl.obolibrary.org/obo/FBcv_0009023>	"An enzyme that catalyzes hydrolysis of a peptide bond."	
<http://purl.obolibrary.org/obo/CHEBI_23004>	"The univalent carboacyl group formed by loss of -OH from the carboxy group of carbamic acid."	
